line,over,sport_baseball,sport_basketball,sport_basketball_first_half,sport_esports,sport_football,sport_football_player_prop,sport_hockey,sport_other,sport_soccer
149.5,0,False,True,False,False,False,False,False,False,False
148.5,0,False,True,False,False,False,False,False,False,False
238.5,1,False,True,False,False,False,False,False,False,False
239.5,1,False,True,False,False,False,False,False,False,False
240.5,1,False,True,False,False,False,False,False,False,False
117.5,0,False,False,True,False,False,False,False,False,False
116.5,0,False,False,True,False,False,False,False,False,False
145.5,0,False,True,False,False,False,False,False,False,False
146.5,0,False,True,False,False,False,False,False,False,False
144.5,1,False,True,False,False,False,False,False,False,False
230.5,1,False,True,False,False,False,False,False,False,False
232.5,1,False,True,False,False,False,False,False,False,False
233.5,1,False,True,False,False,False,False,False,False,False
231.5,1,False,True,False,False,False,False,False,False,False
112.5,1,False,False,True,False,False,False,False,False,False
113.5,1,False,False,True,False,False,False,False,False,False
234.5,1,False,True,False,False,False,False,False,False,False
153.5,0,False,True,False,False,False,False,False,False,False
155.5,0,False,True,False,False,False,False,False,False,False
154.5,0,False,True,False,False,False,False,False,False,False
134.5,1,False,True,False,False,False,False,False,False,False
135.5,1,False,True,False,False,False,False,False,False,False
136.5,1,False,True,False,False,False,False,False,False,False
232.5,0,False,True,False,False,False,False,False,False,False
231.5,0,False,True,False,False,False,False,False,False,False
119.5,0,False,False,True,False,False,False,False,False,False
233.5,0,False,True,False,False,False,False,False,False,False
234.5,0,False,True,False,False,False,False,False,False,False
120.5,0,False,False,True,False,False,False,False,False,False
144.5,0,False,True,False,False,False,False,False,False,False
145.5,0,False,True,False,False,False,False,False,False,False
1.5,1,False,False,False,False,False,False,False,True,False
2.5,1,False,False,False,False,False,False,False,True,False
3.5,0,False,False,False,False,False,False,False,True,False
1.5,1,False,False,False,False,False,False,False,True,False
2.5,1,False,False,False,False,False,False,False,True,False
3.5,1,False,False,False,False,False,False,False,True,False
1.5,1,False,False,False,False,False,False,False,True,False
2.5,1,False,False,False,False,False,False,False,True,False
3.5,0,False,False,False,False,False,False,False,True,False
1.5,1,False,False,False,False,False,False,False,True,False
2.5,0,False,False,False,False,False,False,False,True,False
3.5,0,False,False,False,False,False,False,False,True,False
1.5,1,False,False,False,False,False,False,False,True,False
2.5,1,False,False,False,False,False,False,False,True,False
3.5,1,False,False,False,False,False,False,False,True,False
1.5,1,False,False,False,False,False,False,False,True,False
2.5,1,False,False,False,False,False,False,False,True,False
3.5,1,False,False,False,False,False,False,False,True,False
1.5,1,False,False,False,False,False,False,False,True,False
